ticker,displayName,securityType,isCore,yahooSymbol,localEvents,reachable,epsQuarters,revQuarters,hasTtmRevenue,hasTtmEbitda,priceBars,priceReachable,state,reasons
FTA SJ,"Fairvest",operating,false,FTA.JO,0,true,0,0,true,true,20,true,PARTIAL,no-past-quarters
MTLA IJ,"PT Metropolitan Land Tbk",operating,false,MTLA.JK,0,true,0,0,true,true,22,true,PARTIAL,no-past-quarters
RDTX IJ,"PT Roda Vivatex Tbk",operating,false,RDTX.JK,0,true,0,0,true,true,22,true,PARTIAL,no-past-quarters
VKE SJ,"Vukile Property Fund",operating,false,VKE.JO,0,true,0,0,true,true,20,true,PARTIAL,no-past-quarters
SRE SJ,"Sirius Real Estate",operating,false,SRE.JO,0,true,0,0,true,true,20,true,PARTIAL,no-past-quarters
8830 JP,"Sumitomo Realty & Development Co.",operating,false,8830.T,4,true,4,0,true,true,21,true,OK,
NIRO IJ,"PT City Retail Developments Tbk",operating,false,NIRO.JK,0,true,0,0,true,true,22,true,PARTIAL,no-past-quarters
JSPT IJ,"PT Jakarta Setiabudi Internasional Tbk",operating,false,JSPT.JK,0,true,0,0,true,true,22,true,PARTIAL,no-past-quarters
FFB SJ,"Fortress Real Estate Investments",operating,false,FFB.JO,0,true,0,0,true,true,20,true,PARTIAL,no-past-quarters
WELL MM,"Welltower",operating,false,WELL.MX,0,true,0,3,true,true,20,true,PARTIAL,no-past-quarters
OMRE IJ,"PT Indonesia Prima Property Tbk",operating,false,OMRE.JK,0,true,0,0,true,true,22,true,PARTIAL,no-past-quarters
1925 JP,"Daiwa House Industry Co.",operating,false,1925.T,4,true,4,0,true,true,21,true,OK,
APLN IJ,"PT Agung Podomoro Land Tbk",operating,false,APLN.JK,0,true,0,0,true,true,22,true,PARTIAL,no-past-quarters
SMDM IJ,"PT Suryamas Dutamakmur Tbk",operating,false,SMDM.JK,0,true,0,0,true,true,22,true,PARTIAL,no-past-quarters
RES SJ,"Resilient REIT",operating,false,RES.JO,0,true,0,0,true,true,20,true,PARTIAL,no-past-quarters
KIJA IJ,"PT Kawasan Industri Jababeka Tbk",operating,false,KIJA.JK,0,true,0,0,true,true,22,true,PARTIAL,no-past-quarters
LPCK IJ,"PT Lippo Cikarang Tbk",operating,false,LPCK.JK,0,true,0,0,true,true,22,true,PARTIAL,no-past-quarters
ROCK IJ,"PT Rockfields Properti Indonesia Tbk.",operating,false,ROCK.JK,0,true,0,0,true,true,22,true,PARTIAL,no-past-quarters
PLD MM,"Prologis",operating,false,PLD.MX,0,true,0,3,true,true,20,true,PARTIAL,no-past-quarters
HYP SJ,"Hyprop Investments",operating,false,HYP.JO,0,true,0,0,true,true,20,true,PARTIAL,no-past-quarters
ASRI IJ,"PT Alam Sutera Realty Tbk",operating,false,ASRI.JK,0,true,0,2,true,true,22,true,PARTIAL,no-past-quarters
MMLP IJ,"PT Mega Manunggal Property Tbk",operating,false,MMLP.JK,0,true,0,0,true,true,22,true,PARTIAL,no-past-quarters
MLSR IT,"Melisron",operating,false,MLSR.TA,1,true,1,1,true,true,19,true,OK,
MGOR IT,"Mega Or Holdings",operating,false,MGOR.TA,0,true,0,0,true,true,19,true,PARTIAL,no-past-quarters
BIG IT,"BIG Shopping Centers",operating,false,BIG.TA,0,true,0,0,true,true,19,true,PARTIAL,no-past-quarters
LTE SJ,"Lighthouse Properties p.l.c.",operating,false,LTE.JO,0,true,0,0,true,false,20,true,PARTIAL,no-past-quarters
395400 KS,"SK Reits Co.",operating,false,395400.KS,1,true,1,0,false,false,21,true,PARTIAL,no-fundamentals
DLF IN,"DLF",operating,false,DLF.NS,4,true,4,3,true,true,21,true,OK,
FMII IJ,"PT Fortune Mate Indonesia Tbk",operating,false,FMII.JK,0,true,0,0,true,true,22,true,PARTIAL,no-past-quarters
FTB SJ,"Fairvest",operating,false,FTB.JO,0,true,0,0,true,true,20,true,PARTIAL,no-past-quarters
ELTY IJ,"PT Bakrieland Development Tbk",operating,false,ELTY.JK,4,true,4,0,true,true,22,true,OK,
EQU SJ,"Equites Property Fund",operating,false,EQU.JO,0,true,0,0,true,true,20,true,PARTIAL,no-past-quarters
TRIN IJ,"PT Perintis Triniti Properti Tbk",operating,false,TRIN.JK,0,true,0,0,true,true,22,true,PARTIAL,no-past-quarters
MSP SJ,"MAS P.L.C.",operating,false,MSP.JO,0,true,0,0,true,true,20,true,PARTIAL,no-past-quarters
POLI IJ,"PT Pollux Hotels Group Tbk",operating,false,POLI.JK,0,true,0,0,true,true,22,true,PARTIAL,no-past-quarters
3003 JP,"Hulic Co.",operating,false,3003.T,4,true,4,0,true,true,21,true,OK,
AMT MM,"American Tower",operating,false,AMT.MX,0,true,0,4,true,true,20,true,PARTIAL,no-past-quarters
SGRO LN,"SEGRO",operating,false,SGRO.L,0,true,0,0,true,true,20,true,PARTIAL,no-past-quarters
BSBK IJ,"PT Wulandari Bangun Laksana Tbk",operating,false,BSBK.JK,0,true,0,0,true,true,22,true,PARTIAL,no-past-quarters
KOTA IJ,"PT DMS Propertindo Tbk",operating,false,KOTA.JK,0,true,0,0,true,true,22,true,PARTIAL,no-past-quarters
200470 KS,"APACT Co.",operating,false,200470.KQ,0,true,0,3,true,true,21,true,PARTIAL,no-past-quarters
094480 KS,"Galaxia Moneytree Co.",operating,false,094480.KQ,0,true,0,0,false,false,21,true,PARTIAL,no-past-quarters|no-fundamentals
